タイムスタンプ,日付,収支,3,金額,ジャンル,支払い方法・移動元,場所,,内容,,移動先・収入先,本当に必要？,カード名,メモ
2026/03/03 17:47:56,2026/03/03,支出,,2110,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,YOMENYA GOEMON NISIKAWAGO
2026/03/03 17:05:44,2026/03/03,支出,,1440,医療費,クレジットカード,その他,,花粉症 薬,,,必要,デビュープラス,
2026/03/03 16:52:03,2026/03/03,支出,,6300,医療費,クレジットカード,その他,,花粉症検査+アレルギー血液検査,,,必要,デビュープラス,KENYUCLINIC
2026/03/03 18:06:14,2026/03/02,移動,,2500,,クレジットカード,,,二葉と2件目_立て替え,,paypay,,Olive,
2026/03/03 18:06:01,2026/03/02,支出,,2428,趣味・娯楽,クレジットカード,飲食店,,二葉と2件目,,,なくても良い,Olive,
2026/03/03 18:05:30,2026/03/02,移動,,4200,,クレジットカード,,,二葉と_立て替え,,paypay,,Olive,
2026/03/03 18:05:17,2026/03/02,支出,,4133,趣味・娯楽,クレジットカード,飲食店,,二葉と,,,なくても良い,Olive,
2026/03/02 17:48:28,2026/03/02,支出,,510,間食,クレジットカード,飲食店,,おやつ,,,なくても良い,paypayクレジット,ファーストキッチンモバイルオーダー
2026/03/02 17:43:53,2026/03/02,支出,,147,交通費,PASMO,その他,,電車 西川越〜川越,,,なくても良い,,
2026/03/02 06:15:03,2026/03/02,支出,,440,サブスク,クレジットカード,ネット,,Google One,,,必要,Olive,2月利用分
2026/03/02 06:15:03,2026/03/02,移動,,0,,三井住友銀行,,,ENEOSカード支払い,,,,,1月利用分
2026/03/01 21:53:24,2026/03/01,支出,,740,サブスク,クレジットカード,ネット,,Google AI Pro,,,なくても良い,Olive,GOOGLE*GOOGLEONE
2026/03/01 17:38:47,2026/03/01,支出,,1140,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,MUSASHINOUDON KAWAGOEKAMI
2026/03/01 17:05:30,2026/03/01,収入,,1000,,,,,スピーカースタンド売却,,現金,,,
2026/03/01 06:15:17,2026/03/01,支出,,8504,減価償却,償却資産,ネット,,Galaxy S24 Ultra 512GB 減価償却,,,必要,,24回目/24回
2026/03/01 06:15:17,2026/03/01,支出,,1435,減価償却,償却資産,その他,,車検_法定費用 減価償却,,,必要,,19回目/24回
2026/03/01 06:15:17,2026/03/01,支出,,2367,減価償却,償却資産,その他,,車検_整備費用 減価償却,,,必要,,19回目/24回
2026/03/01 06:15:17,2026/03/01,支出,,2875,減価償却,償却資産,ネット,,2025年度自動車税 減価償却,,,必要,,11回目/12回
2026/03/01 06:15:17,2026/03/01,支出,,1067,減価償却,償却資産,ネット,,Youtube Premium_2025 減価償却,,,なくても良い,,8回目/12回
2026/03/01 06:15:17,2026/03/01,支出,,4708,減価償却,償却資産,ネット,,自動車保険2025 減価償却,,,必要,,6回目/12回
2026/03/01 06:15:17,2026/03/01,支出,,4749,減価償却,償却資産,ネット,,コンタクト360枚_202510 減価償却,,,必要,,6回目/6回
2026/03/01 06:15:03,2026/03/01,支出,,17510,固定費,クレジットカード,ネット,,国民年金,,,必要,paypayクレジット,3月分
2026/03/01 06:15:03,2026/03/01,支出,,21000,固定費,クレジットカード,ネット,,国民健康保険,,,必要,paypayクレジット,3月分
2026/02/28 19:49:49,2026/02/28,支出,,1350,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,バーガーキング
2026/02/28 18:13:43,2026/02/28,支出,,500,交際費,現金,その他,,駐車場,,,なくても良い,デビュープラス,
